entity_id,name,sanction_program
7867,"AZIZ, TARIQ",IRAQ2
7868,"AL-TIKRITI, WALID HAMID TAWFIQ",IRAQ2
7869,"AL-TAI, SULTAN HASHIM AHMAD",IRAQ2
7870,"AL-AZZAWI, HIKMAT MIZBAN IBRAHIM",IRAQ2
7871,"AL-AHMAD, MAHMUD DHIYAB",IRAQ2
7872,"AL-RAWI, AYAD FUTAYYIH KHALIFA",IRAQ2
7873,"AL-NAQIB, ZUHAIR TALIB ABD-AL-SATTAR",IRAQ2
7874,"AL-SA'DI, AMIR HAMUDI HASSAN",IRAQ2
7875,"AL-UBAIDI, AMIR RASHID MUHAMMAD",IRAQ2
7876,"AL-YASSIN, HUSAM MUHAMMAD AMIN",IRAQ2
7878,"AL-TIKRITI, SAB'AWI IBRAHIM HASSAN",IRAQ2
7879,"AL-TIKRITI, WATBAN IBRAHIM HASSAN",IRAQ2
7880,"AL-TIKRITI, BARZAN IBRAHIM HASSAN",IRAQ2
7881,"AMMASH, HUDA SALIH MAHDI",IRAQ2
7882,"AL-SAD'UN, ABD-AL-BAQI ABD-AL-KARIM ABDALLAH",IRAQ2
7883,"AL-SA'DUN, MUHAMMAD ZIMAM ABD-AL-RAZZAQ",IRAQ2
7884,"AL-NAJIM, SAMIR ABD AL-AZIZ",IRAQ2
7885,"ABD-AL-GHAFUR, HUMAM ABD-AL-KHALIQ",IRAQ2
7886,"AL-UBAIDI, YAHIA ABDALLAH",IRAQ2
7887,"GHALIB, NAYIF SHINDAKH THAMIR",IRAQ2
7888,"AL-MASHHADANI, SAIF-AL-DIN",IRAQ2
7889,"GHARIB, FADIL MAHMUD",IRAQ2
7890,"AL-KHAFAJI, MUHSIN KHADR",IRAQ2
7891,"KAZIM, RASHID TAAN",IRAQ2
7892,"AL-KUBAYSI, UGLA ABID SAQAR",IRAQ2
7893,"AL-UBAIDI, GHAZI HAMMUD",IRAQ2
7894,"MAHDI, ADIL ABDALLAH",IRAQ2
7895,"AL-AWADI, HUSSEIN QAID",IRAQ2
7896,"AL-MUHAMMAD, KHAMIS SIRHAN",IRAQ2
7897,"AL-TIKRITI, SA'D ABD-AL-MAJID AL-FAYSAL",IRAQ2
7898,"SPASOJEVIC, DRAGON",BALKANS
7899,"VASIC, DRAGOMIR",BALKANS
7912,"AL-ALAMI, IMAD KHALIL",SDGT
7913,"HAMDAN, USAMA",SDGT
7914,"MISHAAL, KHALID",SDGT
7915,"RANTISI, ABDEL AZIZ",SDGT
7921,"DWIKARNA, AGUS",SDGT
7923,"JULKIPLI, SALIM Y SALAMUDDIN",SDGT
7924,"MUNANDAR, ARIS",SDGT
7925,"MURAD, ABDUL HAKIM",SDGT
7927,"SIREGAR, PARLINDUNGAN",SDGT
7928,"SYAWAL, YASSIN",SDGT
7929,"YUNOS, MUKHLIS",SDGT
7932,"BIN MANSOUR, AMRAN",SDGT
7933,"HIR, ZULKIFLI BIN ABDUL",SDGT
7934,"KASMURI, ABDUL MANAF",SDGT
7935,"MARZUKI, ZULKIFLI",SDGT
7936,"SUFAAT, YAZID",SDGT
7938,"WAN MIN, WAN MAT",SDGT
7939,"ZAKARIA, ZAINI",SDGT
7940,"ABU DHESS, MOHAMED",SDGT
7942,"AL-DAGMA, ASCHRAF",SDGT
7944,"MOUSTFA, DJAMEL",SDGT
7945,"SHALABI, ISMAIL ABDALLAH SBAITAN",SDGT
8084,"BELMOKHTAR, MOKHTAR",SDGT
8086,"EL HADI, MUSTAPHA NASRI BEN ABDUL KADER AIT",SDGT
8087,"LOUNICI, DJAMEL",SDGT
8090,"BEN ABDELHAKIM, CHERIF SAID",SDGT
8091,"BOUYAHIA, HAMADI BEN ABDUL AZIZ BEN ALI",SDGT
8092,"CABDULLAAH, CIISE MAXAMED",SDGT
8093,"DRISSI, NOUREDDINE BEN ALI BEN BELKASSEM",SDGT
8094,"EL AYASHI, RADI ABD EL SAMIE ABOU EL YAZID",SDGT
8095,"HAMMID, MOHAMMED TAHIR",SDGT
8096,"HAMRAOUI, KAMEL BEN MOULDI BEN HASSAN",SDGT
8098,"MOSTAFA, MOHAMED AMIN",SDGT
8099,"RIHANI, LOTFI BEN ABDUL HAMID BEN ALI",SDGT
8100,"ROUINE, LAZHER BEN KHALIFA BEN AHMED",SDGT
8101,"SALEH AL-SAADI, NASSIM BEN MOHAMED AL-CHERIF BEN MOHAMED",SDGT
8102,"TRABELSI, MOURAD",SDGT
8103,"ZARKAOUI, IMED BEN MEKKI BEN AL-AKHDAR",SDGT
8104,"AMMARI, SAIFI",SDGT
8105,"DURGUTI, SAFET",SDGT
8106,"ABO GHAITH, SULAIMAN JASSEM",SDGT
8111,"BASEVIC, DRAGAN",BALKANS
8112,"BOROVCANIN, VELJKO",BALKANS
8113,"DJORDA, SAMOJKO",BALKANS
8114,"ECIM, LJUBAN",BALKANS
8115,"JAKUPI, AVDYL",BALKANS
8116,"KOJIC, RADOMIR",BALKANS
8117,"KOVAC, TOMISLAV",BALKANS
8118,"KUJUNDZIC, PREDRAG",BALKANS
8119,"MARIJANOVIC, MILOVAN",BALKANS
8120,"SARAC, IVAN",BALKANS
8122,"SHAQIRI, XHEZAIR",BALKANS
8123,"THACI, MENDUH",BALKANS
8138,"ARROYAVE RUIZ, ELKIN ALBERTO",SDNTK
8139,"ATENCIA PITALUA, RAFAEL DARIO",SDNTK
8140,"BLANCO PUERTA, EDGAR FERNANDO",SDNTK
8144,"BUITRAGO PARADA, HECTOR GERMAN",SDNTK
8147,"CASTANO GIL, CARLOS",SDNTK
8149,"CASTANO GIL, JOSE VICENTE",SDNTK
8150,"CASTELLANOS GARZON, HENRY",SDGT
8151,"CIFUENTES GALINDO, LUIS EDUARDO",SDNTK
8153,"DUQUE GAVIRIA, IVAN ROBERTO",SDNTK
8154,"GIRALDO SERNA, HERNAN",SDNTK
